"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Cyclanthaceae vs Dryopteridaceae",1,1.82819665607201,4.60648403366867,0.0713006457876282,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Polypodiaceae",1,2.39399447546633,6.83836618552142,0.171652776965706,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Ericaceae",1,2.8595917784531,6.99370888870364,0.0744061381489347,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Piperaceae",1,2.00091736763704,5.15508288720549,0.102782860488913,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Lauraceae",1,1.33523641669468,3.76370037950844,0.126452703511948,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Clusiaceae",1,1.85396626233234,5.03913220580192,0.129079001532032,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Rubiaceae",1,2.48422317969608,6.67232930647553,0.119850011479571,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Primulaceae",1,1.16925691911549,3.19928503490292,0.105939098598041,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Melastomataceae",1,1.59295389570503,4.36307937292268,0.123379509089456,0.001,0.00122093023255814,"*"
"Cyclanthaceae vs Araliaceae",1,1.25495059983054,3.41193340399656,0.108619019406251,0.001,0.00122093023255814,"*"
