"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"LOT1_old_leaf_endophyte vs LOT1_root_epiphyte",1,5.37341055438024,16.8252755317241,0.110819990102428,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_root_endophyte",1,6.670509182853,18.2875195351978,0.110640655668521,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_root_epiphyte",1,6.63210221158107,18.5943948167272,0.110290705909532,0.001,0.001,"**"
"LOT3_root_endophyte vs LOT3_old_leaf_endophyte",1,6.09202417906305,16.7146779576208,0.110171792094433,0.001,0.001,"**"
"LOT3_old_leaf_endophyte vs LOT3_root_epiphyte",1,5.95800978904956,16.7506003762308,0.108242555024062,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT1_old_leaf_epiphyte",1,3.86328710306382,13.2886696046358,0.102782940262843,0.001,0.001,"**"
"LOT3_root_epiphyte vs LOT3_old_leaf_epiphyte",1,5.41586065838824,15.6999477580488,0.102146734511344,0.001,0.001,"**"
"LOT3_root_epiphyte vs LOT3_young_leaf_epiphyte",1,5.47885524556199,16.1062233633671,0.101229373828978,0.001,0.001,"**"
"LOT3_root_endophyte vs LOT3_young_leaf_endophyte",1,5.25526738101268,13.9978089833787,0.100705249138514,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT1_old_leaf_endophyte",1,5.96004160693262,16.9429859296459,0.0996980595401571,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT1_young_leaf_endophyte",1,5.56498307382756,16.1076408971694,0.0981529001886177,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_young_leaf_endophyte",1,4.77424616288712,13.5356935417144,0.0970052407247889,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT1_young_leaf_epiphyte",1,3.49847880597166,12.0902105793179,0.09365706760459,0.001,0.001,"**"
"LOT3_root_epiphyte vs LOT3_young_leaf_endophyte",1,4.83348346664052,13.2167208520076,0.0935917557939792,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_young_leaf_endophyte",1,4.83949051943863,13.4513278417032,0.0931201397916107,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT2_young_leaf_endophyte",1,4.5788243450598,13.1227378202432,0.0923338377905503,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT1_root_epiphyte",1,4.10538781371152,13.2020574190049,0.0921918138394904,0.001,0.001,"**"
