"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Ericaceae.LOT2 vs Piperaceae.LOT2",1,0.671997621591451,1.71699039550463,0.0694659976004564,0.01,0.01,"*"
"Ericaceae.LOT2 vs Araceae.LOT3",1,2.55371012079225,6.46947308227669,0.0765894807462,0.001,0.00110975609756098,"*"
"Ericaceae.LOT2 vs Bromeliaceae.LOT3",1,2.94339301687793,7.67910180753336,0.0499684193700625,0.001,0.00110975609756098,"*"
"Ericaceae.LOT2 vs Piperaceae.LOT3",1,1.91119107188862,4.89983447007733,0.119800838647943,0.001,0.00110975609756098,"*"
"Ericaceae.LOT2 vs Ericaceae.LOT3",1,2.41606590295845,6.15681637379782,0.0890268912975947,0.001,0.00110975609756098,"*"
"Ericaceae.LOT2 vs Orchidaceae.LOT3",1,2.97681304760946,7.92192726928228,0.0649754104672702,0.001,0.00110975609756098,"*"
"Piperaceae.LOT2 vs Araceae.LOT3",1,1.24440546982842,3.18356407603368,0.0481020344020201,0.001,0.00110975609756098,"*"
"Piperaceae.LOT2 vs Bromeliaceae.LOT3",1,1.3121015903191,3.45163229795771,0.0256719255762441,0.001,0.00110975609756098,"*"
"Piperaceae.LOT2 vs Piperaceae.LOT3",1,1.15402912629934,3.07605437398137,0.127764056609941,0.002,0.00211627906976744,"*"
"Piperaceae.LOT2 vs Ericaceae.LOT3",1,1.26869643750466,3.28126404193791,0.0639856310728707,0.001,0.00110975609756098,"*"
"Piperaceae.LOT2 vs Orchidaceae.LOT3",1,1.35041244080106,3.64536092122716,0.0355141322365724,0.001,0.00110975609756098,"*"
"Araceae.LOT3 vs Bromeliaceae.LOT3",1,1.43593930536398,3.73098257283279,0.0196645931109357,0.001,0.00110975609756098,"*"
"Araceae.LOT3 vs Piperaceae.LOT3",1,1.04353325481049,2.67339669082961,0.0339809491299265,0.001,0.00110975609756098,"*"
"Araceae.LOT3 vs Ericaceae.LOT3",1,1.22834806506696,3.13583272109646,0.0295454667919439,0.001,0.00110975609756098,"*"
"Araceae.LOT3 vs Orchidaceae.LOT3",1,2.22891187207124,5.87141767824913,0.036725874853163,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT3 vs Piperaceae.LOT3",1,1.07802446327006,2.83078243838942,0.0192792164652342,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT3 vs Ericaceae.LOT3",1,1.33776018302978,3.49145802500722,0.0200093349240445,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT3 vs Orchidaceae.LOT3",1,2.8198258597356,7.48499727518699,0.0326164993967399,0.001,0.00110975609756098,"*"
"Piperaceae.LOT3 vs Ericaceae.LOT3",1,1.00458737782939,2.5966855495708,0.040830516985776,0.001,0.00110975609756098,"*"
"Piperaceae.LOT3 vs Orchidaceae.LOT3",1,1.66713579088972,4.4761385376745,0.038429661163833,0.001,0.00110975609756098,"*"
"Ericaceae.LOT3 vs Orchidaceae.LOT3",1,1.75137088406577,4.64625420804172,0.0323451121900651,0.001,0.00110975609756098,"*"
