LOT-SampleCode;Genus;Species;Family;TreeZone
LOT03-455344/O;Clusia;Clusia cf. octandra;Clusiaceae;5
LOT02-451180/H;Clusia;Clusia elliptica;Clusiaceae;1
LOT02-451180/P;Clusia;Clusia elliptica;Clusiaceae;1
LOT02-451180/L;Clusia;Clusia elliptica;Clusiaceae;1
LOT02-451180/L;Clusia;Clusia elliptica;Clusiaceae;1
LOT01-3412/H1;Clusia;Clusia hammeliana;Clusiaceae;0
LOT01-3412/H2;Clusia;Clusia hammeliana;Clusiaceae;0
LOT01-3434/H1;Clusia;Clusia loretensis;Clusiaceae;0
LOT01-3434/H2;Clusia;Clusia loretensis;Clusiaceae;0
LOT01-3416/H2;Clusia;Clusia loretensis;Clusiaceae;0
LOT01-3416/H1;Clusia;Clusia loretensis;Clusiaceae;0
LOT01-3434/A;Clusia;Clusia loretensis;Clusiaceae;0
LOT03-21689/H;Clusia;Clusia sp. CC1;Clusiaceae;6
LOT03-06685;Cochlidium;Cochlidium serrulatum;Aspleniaceae;6
LOT03-06637;Cochlidium;Cochlidium serrulatum;Aspleniaceae;6
LOT03-06698;Cochlidium;Cochlidium serrulatum;Aspleniaceae;6
LOT03-06696;Cochlidium;Cochlidium serrulatum;Aspleniaceae;6
LOT03-064109;Cochlidium;Cochlidium serrulatum;Aspleniaceae;4
LOT03-065140/R;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-065140/T;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06488/O;Cochlidium;Cochlidium serrulatum;Aspleniaceae;4
LOT03-065140/P;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06522/T;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-065140/D;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06470;Cochlidium;Cochlidium serrulatum;Aspleniaceae;4
LOT03-065140/H;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06522/D;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06522/H;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06522/P;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
