LOT-SampleCode;TreeZone
LOT03-06536;5
LOT03-06530;5
LOT03-06520;5
LOT03-06541;5
LOT03-066137;6
LOT03-066137;6
LOT03-066137;6
LOT03-066137;6
LOT03-066137;6
LOT03-066137;6
LOT03-065102;5
LOT03-065102;5
LOT02-455122;5
LOT02-453130;3
LOT02-453130;3
LOT03-211244;1
LOT01-34442;0
LOT01-34441;0
LOT03-211246;1
LOT03-16513;5
LOT03-16513;5
LOT02-451179;1
LOT02-16505;5
LOT02-18438;4
LOT02-18503;5
LOT02-18513;5
LOT02-18685;6
LOT02-18591;5
LOT02-18504;5
LOT02-18579;5
LOT02-18654;6
LOT02-18692;6
LOT02-21510;5
LOT02-21506;5
LOT02-45650;6
LOT02-45549;5
LOT02-21541;5
LOT02-21399;3
LOT02-16505;5
LOT02-455121;5
LOT02-18495;4
LOT02-18596;5
LOT02-18689;6
LOT02-18584;5
LOT02-18694;6
LOT02-45524;5
LOT02-455132;5
LOT02-455132;5
LOT03-21684;6
LOT03-216214;6
LOT03-45489;4
LOT03-21578;5
LOT03-456413;6
LOT03-45699;6
LOT03-45699;6
LOT03-45699;6
LOT03-45699;6
LOT03-216207;6
LOT03-216207;6
LOT03-21570;5
LOT03-21570;5
LOT03-21570;5
LOT03-21691;6
LOT03-21691;6
LOT02-450115;0
LOT02-455157;5
LOT02-21652;6
LOT02-455157;5
LOT02-455157;5
LOT02-455157;5
LOT03-454302;4
LOT03-215229;5
LOT03-215227;5
LOT03-215225;5
LOT03-455355;5
LOT03-455322;5
LOT03-455307;5
LOT03-45449;4
LOT03-45449;4
LOT03-214218;4
LOT03-214234;4
LOT03-45408;4
LOT03-214253;4
LOT03-21498;4
LOT03-21498;4
LOT03-45449;4
LOT03-45428;4
LOT03-45428;4
LOT03-45408;4
LOT03-214215;4
LOT01-34311;0
LOT01-34312;0
LOT03-216256;6
LOT03-216256;6
LOT03-21692;6
LOT03-45450;4
LOT03-45450;4
LOT03-216209;6
LOT03-216209;6
LOT03-21445;4
LOT03-21558;5
LOT03-21445;4
LOT03-455383;5
LOT03-456123;6
LOT03-216212;6
LOT03-456123;6
LOT03-456123;6
LOT03-456123;6
LOT03-216212;6
LOT03-456397;6
LOT03-06402;4
LOT03-06412;4
LOT03-064121;4
LOT03-064121;4
LOT03-064121;4
LOT03-064121;4
LOT03-064121;4
LOT03-06402;4
LOT03-06418;4
LOT03-064121;4
LOT03-06175;1
LOT03-06175;1
LOT03-06175;1
LOT03-06487;4
LOT03-06487;4
LOT03-06545;5
LOT03-064116;4
LOT03-06487;4
LOT03-06516;5
LOT03-06487;4
LOT03-064128;4
LOT03-064116;4
LOT03-06549;5
LOT03-06487;4
LOT03-064128;4
LOT03-064128;4
LOT03-064128;4
LOT03-064128;4
LOT03-06549;5
LOT03-06487;4
LOT03-06406;4
LOT01-34422;0
LOT01-34421;0
LOT01-34211;0
LOT01-34662;0
LOT01-34661;0
LOT03-21564;5
LOT03-21564;5
LOT03-21564;5
LOT03-21585;5
LOT03-45558;5
LOT03-45571;5
LOT03-455308;5
LOT03-455324;5
LOT03-455329;5
LOT03-455352;5
LOT03-455356;5
LOT03-21550;5
LOT03-455357;5
LOT03-455384;5
LOT03-455410;5
LOT03-215231;5
LOT03-45556;5
LOT03-45556;5
LOT03-215231;5
LOT03-455348;5
LOT03-45571;5
LOT03-21651;6
LOT03-456315;6
LOT03-454300;4
LOT03-456440;6
LOT03-456401;6
LOT03-45686;6
LOT03-456392;6
LOT03-45686;6
LOT03-456382;6
LOT03-456374;6
LOT03-455319;5
LOT03-45562;5
LOT03-455332;5
LOT03-455354;5
LOT03-455326;5
LOT03-45562;5
LOT03-455321;5
LOT03-455380;5
LOT03-45555;5
LOT03-455409;5
LOT03-45555;5
LOT03-456306;6
LOT03-456313;6
LOT03-456422;6
LOT03-456432;6
LOT03-45683;6
LOT03-456373;6
LOT03-456424;6
LOT03-45683;6
LOT03-455341;5
LOT03-456396;6
LOT03-456388;6
LOT03-21586;5
LOT03-455127;5
LOT03-45580;5
LOT03-45434;4
LOT03-21655;6
LOT03-455127;5
LOT03-456314;6
LOT03-456416;6
LOT03-456400;6
LOT03-456393;6
LOT03-455342;5
LOT02-211133;1
LOT02-451137;1
LOT01-34652;0
LOT01-34651;0
LOT02-453170;3
LOT02-453170;3
LOT02-453129;3
LOT02-453129;3
LOT03-21442;4
LOT03-214142;4
LOT03-214143;4
LOT01-34051;0
LOT01-34052;0
LOT03-21444;4
LOT03-21444;4
LOT03-45407;4
LOT03-45407;4
LOT03-45422;4
LOT03-21441;4
LOT03-45413;4
LOT03-45422;4
LOT03-45433;4
LOT03-454350;4
LOT03-21441;4
LOT01-34542;0
LOT01-34101;0
LOT01-34102;0
LOT01-34541;0
LOT01-34871;0
LOT02-45586;5
LOT01-34881;0
LOT02-18438;4
LOT02-18519;5
LOT02-211134;1
LOT02-213106;3
LOT02-18651;6
LOT02-18654;6
LOT02-45560;5
LOT02-45560;5
LOT02-45560;5
LOT02-45560;5
LOT02-18641;6
LOT02-18558;5
LOT02-18475;4
LOT02-45484;4
LOT02-45485;4
LOT02-45485;4
LOT01-34041;0
LOT01-34251;0
LOT01-34242;0
LOT01-34252;0
LOT01-34241;0
LOT03-45466;4
LOT03-45466;4
LOT03-45466;4
LOT01-34412;0
LOT01-34411;0
LOT01-34632;0
LOT01-34631;0
LOT01-34891;0
LOT01-34901;0
LOT01-34112;0
LOT01-34111;0
LOT02-455104;5
LOT01-34511;0
LOT02-18440;4
LOT02-213113;3
LOT02-454103;4
LOT03-21471;4
LOT03-21471;4
LOT01-34741;0
LOT01-34941;0
LOT03-21427;4
LOT03-21427;4
LOT03-45681;6
LOT03-45681;6
LOT02-456159;6
LOT03-214147;4
LOT03-21499;4
LOT03-21499;4
LOT02-451174;1
LOT02-451174;1
LOT02-212126;2
LOT03-21234;2
LOT03-214121;4
LOT03-214121;4
LOT03-214137;4
LOT03-214137;4
LOT03-214137;4
LOT02-18545;5
LOT02-18581;5
LOT02-18519;5
LOT02-18501;5
LOT02-21562;5
LOT02-45507;5
LOT02-45606;6
LOT03-456146;6
LOT03-456146;6
LOT03-456135;6
LOT02-45448;4
