	Ascomycota	Basidiomycota	Chytridiomycota	Mucoromycota	Zoopagomycota	NA
A01426:1224:HWCKFDRX5:1:2101:22028:6324_CONS_SUB_SUB_CMP	312	492	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22092:31892_CONS_SUB_SUB_CMP	104	74	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22191:30843_CONS_SUB_SUB_CMP	97	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22299:12148_CONS_SUB_SUB_CMP	160	5	0	0	0	5
A01426:1224:HWCKFDRX5:1:2101:22345:5274_CONS_SUB_SUB	340	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22390:2253_CONS_SUB_SUB_CMP	8053	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22435:22247_CONS_SUB_SUB	993	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22516:25833_CONS_SUB_SUB_CMP	399	43	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22535:5008_CONS_SUB_SUB_CMP	625	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22806:35289_CONS_SUB_SUB	49	831	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:22887:33395_CONS_SUB_SUB	83	109	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23023:35196_CONS_SUB_SUB_CMP	58	22	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:23059:21449_CONS_SUB_SUB	973	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23086:19116_CONS_SUB_SUB	238	5	0	3	0	0
A01426:1224:HWCKFDRX5:1:2101:23095:15186_CONS_SUB_SUB_CMP	149	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23140:30921_CONS_SUB_SUB	77	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23149:1125_CONS_SUB_SUB	25	33	0	3	0	0
A01426:1224:HWCKFDRX5:1:2101:23176:18677_CONS_SUB_SUB_CMP	886	71	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23231:1391_CONS_SUB_SUB	75	278	0	4	0	0
A01426:1224:HWCKFDRX5:1:2101:23249:17394_CONS_SUB_SUB_CMP	2816	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23330:29434_CONS_SUB_SUB_CMP	282	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23393:1141_CONS_SUB_SUB_CMP	11462	57	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2347:22153_CONS_SUB_SUB_CMP	121	7	0	81	0	0
A01426:1224:HWCKFDRX5:1:2101:23538:28072_CONS_SUB_SUB	125	17	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2356:24142_CONS_SUB_SUB	73	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2356:30091_CONS_SUB_SUB_CMP	1044	6142	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23574:3051_CONS_SUB_SUB	94	36	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23574:6809_CONS_SUB_SUB_CMP	193	915	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23601:7795_CONS_SUB_SUB_CMP	443	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2365:11099_CONS_SUB_SUB	346	363	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23683:21151_CONS_SUB_SUB_CMP	61	61	0	28	0	0
A01426:1224:HWCKFDRX5:1:2101:23728:2159_CONS_SUB_SUB	134	2	0	1	0	0
A01426:1224:HWCKFDRX5:1:2101:23737:26224_CONS_SUB_SUB_CMP	120	189	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23827:14293_CONS_SUB_SUB_CMP	41	66	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23900:11350_CONS_SUB_SUB_CMP	10606	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23909:14810_CONS_SUB_SUB_CMP	65	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23927:11428_CONS_SUB_SUB	473	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:23972:8750_CONS_SUB_SUB	222	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2401:9815_CONS_SUB_SUB_CMP	13671	12	0	0	0	13
A01426:1224:HWCKFDRX5:1:2101:24162:8453_CONS_SUB_SUB_CMP	199	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24216:6856_CONS_SUB_SUB_CMP	4846	85	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24306:14403_CONS_SUB_SUB	484	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24370:18552_CONS_SUB_SUB	46	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24379:15499_CONS_SUB_SUB	246	28	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24469:1846_CONS_SUB_SUB_CMP	284	25	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24496:3427_CONS_SUB_SUB_CMP	262	477	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24505:12273_CONS_SUB_SUB	277	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24623:28322_CONS_SUB_SUB_CMP	362	1564	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:2465:24330_CONS_SUB_SUB	30	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24695:28009_CONS_SUB_SUB	414	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24713:3333_CONS_SUB_SUB_CMP	1202	43	0	2	0	0
A01426:1224:HWCKFDRX5:1:2101:24758:21292_CONS_SUB_SUB	675	49	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:24777:7827_CONS_SUB_SUB	100	92	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24813:26365_CONS_SUB_SUB_CMP	191	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24813:31688_CONS_SUB_SUB	52	5	0	5	0	0
A01426:1224:HWCKFDRX5:1:2101:2483:8766_CONS_SUB_SUB_CMP	91	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24858:23281_CONS_SUB_SUB	337	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24867:11866_CONS_SUB_SUB	165	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:24966:35806_CONS_SUB_SUB	370	39	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25012:32283_CONS_SUB_SUB_CMP	1248	86	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:25084:19507_CONS_SUB_SUB	302	25	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25183:21402_CONS_SUB_SUB	71	62	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25319:13620_CONS_SUB_SUB	676	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25364:27539_CONS_SUB_SUB	113	81	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25391:6042_CONS_SUB_SUB_CMP	313	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25418:26882_CONS_SUB_SUB	33	8	0	2	0	0
A01426:1224:HWCKFDRX5:1:2101:2546:19116_CONS_SUB_SUB	97	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:25635:23970_CONS_SUB_SUB_CMP	232	34	0	0	0	14
A01426:1224:HWCKFDRX5:1:2101:25654:13855_CONS_SUB_SUB_CMP	93	8	0	0	0	0
