"","old_leaf","root","young_leaf"
"738",53,44,76
"739",0,280,116
"740",207,16791,210
"741",36,93,8
"742",232,2,21
"743",229,8,137
"744",3781,308,2208
"745",614,79,112
"746",36,90,30
"747",42,4,74
"748",208,9,166
"749",136,31,147
"750",0,354,0
"751",36,122,18
"752",183,9,667
"753",112,0,72
"754",81,3804,159
"755",377,64,1052
"756",221,6655,194
"757",991,12,80
"758",14,28,80
"759",297,1469,358
"760",163,92,284
"761",79,96,3
"762",692,0,0
"763",8,9730,0
"764",24,7,104
"765",84,774,174
"766",2,479,0
"767",1418,17019,2221
"768",2839,418,30
"769",0,390,4
"770",0,153,0
"771",22,68,69
"772",101,2,2
"773",6252,4,3894
"774",42,19,96
"775",34,408,1
"776",63,86,79
"777",22,10,240
"778",0,3588,0
"779",0,13528,51
"780",74,699,93
"781",2,106,0
"782",203,200,619
"783",0,104,46
"784",5504,216,607
"785",112,116,55
"786",15,0,376
"787",1229,0,329
"788",50,115,62
"789",174,149,196
"790",642,73,24
"791",0,133,9
"792",175,8,431
"793",112,48,128
"794",2,1418,10
"795",16,8,165
"796",0,830,17
"797",13,43,72
"798",399,18,260
"799",447,61,136
"800",177,23,44
"801",3,877,4
"802",0,838,2
"803",74,128,147
"804",0,176,7
"805",0,105,1
"806",15,57,31
"807",1362,701,39
"808",509,7570,520
"809",0,193,6
"810",101,560,447
"811",6,659,31
"812",6,1786,43
"813",4,268,90
"814",70,0,43
"815",5,913,16
"816",1831,883,37618
"817",0,3,161
"818",1264,1366,372
"819",7,50,167
"820",1180,418,1887
"821",422,908,291
"822",642,604,8345
"823",233,3,141
"824",1136,0,0
"825",45,107,122
"826",5,209,44
"827",781,2045,36
"828",35,65,81
"829",7,1214,173
"830",636,0,198
"831",40,10,471
"832",147,12620,1375
"833",46,217,17
"834",15,1872,11
"835",11,88,77
"836",0,1448,5
"837",382,422,867
"838",15,293,44
"839",683,1013,772
"840",861,0,2
"841",6,92,2
"842",44,16,41
"843",921,52,335
"844",27,5889,63
"845",148,7,95
"846",3725,9483,3075
"847",123,11,141
"848",47,38,54
"849",49,11,131
"850",854,12,21
"851",0,105,4
"852",9,0,146
"853",0,142,2
"854",23,96,7
"855",0,553,0
"856",1490,50,1800
"857",0,1116,17
"858",14,351,82
"859",0,199,0
"860",3,156,0
"861",79,41,46
"862",2,917,68
"863",58,118,82
"864",23,54,31
"865",2,333,0
"866",3,215,4
"867",239,12426,315
"868",106,5784,119
"869",0,257,13
"870",9056,1220,45398
"871",0,113,0
"872",286,1099,10936
"873",0,159,0
"874",3,12,867
"875",6,685,89
"876",9,126,55
"877",94,3390,815
"878",35,67,22
"879",12,424,33
"880",42,76,45
"881",3,184,0
"882",245,3,69
"883",2428,23175,705
"884",21,93,39
"885",28,1,324
"886",115,42,285
"887",655,0,25
"888",150,38,102
"889",7,273,307
"890",59,53,314
"891",22,19,76
"892",37,149,69
"893",80,3626,153
"894",22,10765,190
"895",165,60178,432
"896",32,1,460
"897",0,859,7
"898",40,144,76
"899",0,226,0
"900",138,278,125
"901",0,128,0
"902",0,856,6
"903",0,190,0
"904",15,11361,192
"905",94,19,114
"906",30,1438,49
"907",1757,35,355
"908",870,20,397
"909",8,164,4
"910",3811,202,564
"911",1800,588,6302
"912",464,25721,621
"913",207,0,98
"914",2,114,13
"915",58,22,205
"916",907,21,52
"917",47,34,96
"918",157,249,97
"919",455,5,0
"920",27,447,41
"921",50,66,53
"922",125,4,26
"923",0,1227,32
"924",3,656,8
"925",40,942,26
"926",15,188,28
"927",15,0,809
"928",257,0,3
"929",14,401,36
"930",32,182,2
"931",2295,12,430
"932",105,4,58
"933",69,67,6
"934",88,42,105
"935",0,164,8
"936",189,0,0
"937",360,8,37
"938",88,3,28
"939",48,31,29
"940",21,389,74
"941",9,165,13
"942",758,15,23
"943",507,42,14
"944",0,812,5
"945",21,1227,29
"946",34,1468,172
"947",3571,23,166
"948",480,5,25
"949",6118,78,621
"950",2665,64,691
"951",130,20,28
"952",25,760,118
"953",0,107,1
"954",255,551,317
"955",342,158,22
"956",201,0,50
"957",93,1730,105
"958",29,677,13
"959",393,2903,716
"960",109,13,39
"961",402,31,1414
"962",236,1,33
"963",0,765,0
"964",570,82329,822
"965",77,0,52
"966",836,755,873
"967",1392,569,44
"968",7,0,105
"969",84,0,34
"970",100,0,108
"971",112,35,668
"972",241,921,374
"973",96,234,89
"974",22,90,50
"975",1522,11077,402
"976",545,0,0
"977",413,32,39
"978",27,299,69
"979",15,153,0
"980",117,11,5
"981",4,109,27
"982",109,227,253
"983",374,27,91
"984",0,1512,18
"985",22,2449,83
"986",20,557,1
"987",195,3,0
"988",46,7481,248
"989",0,154,53
"990",7,882,7
"991",190,482,2664
"992",17,215,0
"993",180,1241,768
"994",19,2,262
"995",13,1707,10
"996",101,8902,68
"997",0,855,0
"998",1831,3512,668
"999",0,124,0
"1000",305,27,144
"1001",294,0,2
"1002",367,8108,837
"1003",3,3,102
"1004",327,21,7594
"1005",55,3,42
"1006",253,8,95
"1007",83,2,29
"1008",55,16,877
"1009",13,10003,37
"1010",4,95,2
"1011",27,14,77
"1012",50,4463,162
"1013",3,464,23
"1014",84,60906,973
"1015",189,299,455
"1016",1916,18,2512
"1017",81,536,357
"1018",1,0,142
"1019",2,277,9
"1020",0,179,2
"1021",149,4675,29
"1022",30,10,183
"1023",279,362,428
"1024",85,0,257
"1025",120,28,33
"1026",440,13,29
"1027",131,64,23
"1028",4223,117,1202
"1029",2,339,10
"1030",1064,457,1495
"1031",30,303,23
"1032",4,1029,5
"1033",68,3845,162
"1034",2336,67,3113
"1035",27,193,182
"1036",161,14,8
"1037",364,709,1567
"1038",634,126733,787
"1039",119,3,41
"1040",273,468,50
"1041",2761,181,3990
"1042",167,68,557
"1043",896,15820,124
"1044",303,10,166
"1045",89696,4507,66219
"1046",24,574,163
"1047",31,51,25
"1048",12227,21082,8490
"1049",352,9,488
"1050",502,577,111
"1051",36,47,56
"1052",43,3010,11
"1053",3749,38,175
"1054",131,1,31
"1055",37,26,109
"1056",64,47,232
"1057",29,464,39
"1058",2303,3795,157
"1059",12,2983,38
"1060",0,2152,0
"1061",53,357,6
"1062",20,1099,39
"1063",64,939,385
"1064",2,117,0
"1065",80,0,277
"1066",32,39,51
"1067",37,122,0
"1068",25,274,11
"1069",221,119,186
"1070",11,120,0
"1071",0,1537,16
"1072",56,819,156
"1073",141,203,67
"1074",4537,55452,3643
"1075",212,513,322
"1076",872,2753,8650
"1077",4,2022,13
"1078",58,0,73
"1079",97,6,19
"1080",7,607,23
"1081",1295,561,247
"1082",227,0,0
"1083",55,417,145
"1084",70,14,61
"1085",231,16,137
"1086",359,122,63
"1087",55,15,73
"1088",164,34,12
"1089",5,57,40
"1090",0,2536,15
"1091",1212,91,201
"1092",101,346,34
"1093",1457,359,170
"1094",46,50,282
"1095",31,0,70
"1096",58,86,63
"1097",164,86,424
"1098",643,22,246
"1099",20,100,9
"1100",68,36,11
"1101",166,135,61
"1102",35,3,268
"1103",1427,2172,4331
"1104",10,349,85
"1105",5,2,93
"1106",0,540,0
"1107",21,52,99
"1108",0,6845,15
"1109",134,95,71
"1110",236,26,1021
"1111",3,180,6
"1112",684,133,123
"1113",95,12,173
"1114",26,351,74
"1115",136,2,12
"1116",5435,80,4745
"1117",55,1,494
"1118",364,3,37
"1119",0,747,4
"1120",104,5,12
"1121",4,98,4
"1122",103,1,327
"1123",220,50,198
"1124",17,4,80
"1125",910,449,904
"1126",15257,11159,33241
"1127",56,118,25
"1128",571,2462,1541
"1129",674,244,8682
"1130",2,138,0
"1131",35,72,1
"1132",88,379,79
"1133",33,958,5
"1134",17,0,609
"1135",22,126,193
"1136",29,606,19
"1137",58,187,47
"1138",51,1414,73
"1139",42,3034,597
"1140",360,469,187
"1141",61,7,66
"1142",4,111,18
"1143",381,66,9
"1144",85,394,40
"1145",337,0,42
"1146",18,694,41
"1147",80,1398,105
"1148",3759,0,13008
"1149",63,83,247
"1150",238,8,21
"1151",122,2,76
"1152",9,76,15
"1153",0,234,2
"1154",95,77732,1324
"1155",0,243,0
"1156",19,102,56
"1157",65,35,22
"1158",14,46,58
"1159",122,26,40
"1160",973,724,2033
"1161",196,94,132
"1162",986,3827,791
"1163",34359,45818,79861
"1164",0,191,4
"1165",53,13,54
"1166",200,11,38
"1167",41,41,35
"1168",7,493,41
"1169",170,281,1430
"1170",70,32,23
"1171",175,48,369
"1172",3,22,429
"1173",6625,275,3693
"1174",0,253,8
"1175",104,204,103
"1176",16,163,23
"1177",449,4,82
"1178",1,92,17
"1179",106,8,0
"1180",64,379,107
"1181",159,98,30
"1182",526,120,1028
"1183",94,5,7
"1184",130,2704,199
"1185",61,7,50
"1186",52,0,113
"1187",73,31,128
"1188",155,65,217
"1189",107,44,22
"1190",7,199,9
"1191",0,135,7
"1192",9169,0,0
"1193",0,12031,144
"1194",157,358,528
"1195",3103,372,1603
"1196",22,8663,786
"1197",730,0,150
"1198",1075,157,1336
"1199",3,254,8
"1200",2,540,47
"1201",24,588,15
"1202",25,90,13
"1203",96,64,35
"1204",225,38,15
"1205",1,249,5
"1206",30,5264,15
"1207",55,24,65
"1208",14,156,5
"1209",142,12,26
"1210",525,108,232
"1211",272,449,259
"1212",76,0,33
"1213",0,580,8
"1214",198,0,35
"1215",0,671,4
"1216",784,6,398
"1217",15,32,57
"1218",89,35,57
"1219",35,84,58
"1220",122,18,54
"1221",0,214,0
"1222",1343,11,191
"1223",119,110,183
"1224",54,131,149
"1225",89,0,63
"1226",8353,38,989
"1227",139,29,864
"1228",994,0,65
"1229",4,192,0
"1230",293,66,11518
"1231",2472,90,2780
"1232",12,76,38
"1233",144,16552,342
"1234",161,136,129
"1235",2,139,3
"1236",0,572,2
"1237",70,13,167
"1238",78,79,0
"1239",72,235,96
"1240",26,86,1
"1241",143,46,49
"1242",24,92,1869
"1243",29,3488,26
"1244",776,20,62
"1245",14,6655,4
"1246",12,127,19
"1247",79,14,114
"1248",133,72,364
"1249",19,552,24
"1250",5,97,5
"1251",0,321,42
"1252",18,149,25
"1253",22,19,752
"1254",61,777,2
"1255",94,409,101
"1256",40,469,59
"1257",302,1358,131
"1258",76,3158,47
"1259",52,2,48
"1260",3448,30,436
"1261",0,885,0
"1262",223,40,60
"1263",1,122,2
"1264",27,51,49
"1265",25,42,56
"1266",17,37,94
"1267",21,104,29
"1268",72,4,1055
"1269",27,1467,30
"1270",0,1558,25
"1271",33,42,247
"1272",818,7,18
"1273",49,220,18
"1274",4,128,4
"1275",77,136,16
"1276",0,117,17
"1277",6,437,23
"1278",6,194,2
"1279",207,320,14
"1280",30,6510,136
"1281",40,431,9
"1282",12,93,12
"1283",159,1865,87
"1284",2679,167,351
"1285",4141,30,2190
"1286",249,178,374
"1287",7,389,2
"1288",134,2,5
"1289",2,99,0
"1290",54,16992,300
"1291",79,93,188
"1292",30,4,319
"1293",0,138,0
"1294",432,145,4571
"1295",4,1925,34
"1296",515,35,11
"1297",0,129,0
"1298",2,1377,13
"1299",2487,53,562
"1300",68,582,58
"1301",51,189,79
"1302",13,9171,55
"1303",1076,19,22
"1304",153,0,10
"1305",207,56,744
"1306",795,63,926
"1307",528,6,774
"1308",0,141,0
"1309",106,47,204
"1310",5,1144,19
"1311",91,26,94
"1312",9,216,124
"1313",9,115,18
"1314",31,342,45
"1315",0,112,5
"1316",50,300,0
"1317",897,7,850
"1318",12,203,30
"1319",8,683,18
"1320",546,19,255
"1321",15,431,12907
"1322",21,2698,0
"1323",171,1,0
"1324",18,14,131
"1325",1020,2030,43
"1326",109,217,225
"1327",110,9,1114
"1328",124,12,94
"1329",0,6068,17
"1330",45,182,20
"1331",14,11,135
"1332",748,29,10
"1333",276,1952,93
"1334",62,24,32
"1335",56,422,91
"1336",518,10,27
"1337",72,45,23
"1338",1,306,0
"1339",1731,27,647
"1340",3,4,152
"1341",3,188,0
"1342",62,30,52
"1343",118,2283,114
"1344",6,325,0
"1345",400,13,35
"1346",2,102,0
"1347",8676,134,515
"1348",4329,22,82
"1349",138,3,0
"1350",1322,13,9
"1351",3,990,2
"1352",41,454,45
"1353",70,0,69
"1354",396,45,14
"1355",0,5,100
"1356",0,252,0
"1357",4,112,2
"1358",92,11,13
"1359",185,17,504
"1360",20,227,34
"1361",204,40633,303
"1362",184,153,229
"1363",0,100,0
"1364",17,125,39
"1365",49,121,10
"1366",41,18,80
"1367",41,12,374
"1368",0,111,0
"1369",1462,5,352
"1370",14,0,365
"1371",619,20,57
"1372",0,111,0
"1373",0,26877,0
"1374",7,283,15
"1375",140,355,106
"1376",2,229,10
"1377",97,2,935
"1378",0,318,12
"1379",0,177,9
"1380",5,20,99
"1381",25,934,129
"1382",209,0,85
"1383",476,80,1337
"1384",219,2971,19
"1385",565,427,3154
"1386",33,351,0
"1387",30,176,14
"1388",113,75,18
"1389",22,39,52
"1390",28,0,2474
"1391",5,1075,24
"1392",252,2015,2679
"1393",30,1,114
"1394",33,0,120
"1395",182,25,258
"1396",60,47,32
"1397",13532,196,37243
"1398",84,3,41
"1399",178,5,20
"1400",82,1072,86
"1401",12,128,4
"1402",0,1011,23
"1403",1224,0,14
"1404",3,100,0
"1405",445,8,10
"1406",67,9,135
"1407",179,0,2724
"1408",6,194,142
"1409",0,898,33
"1410",10,96,27
"1411",391,2125,465
"1412",1061,138,30
"1413",5592,201,6613
"1414",200,71,15
"1415",126,12,9
"1416",0,1,273
"1417",17,2,639
"1418",138,0,28
"1419",0,247,8
"1420",50,176,0
"1421",212,218,346
"1422",1,173,0
"1423",60,95,1215
"1424",425,479,212
"1425",109,749,20
"1426",33,35,41
"1427",222,0,133
"1428",0,232,0
"1429",35,21,150
"1430",3,99,0
"1431",1682,62,464
"1432",10,83,14
"1433",0,99,4
"1434",348,61,267
"1435",75,44,182
"1436",1833,249,1688
"1437",3774,1742,6578
"1438",101,1178,78
"1439",25,134,49
"1440",101,0,6
"1441",0,643,0
"1442",601,23,43
"1443",48,41,27
"1444",37,232,34
