""	"old_leaf"	"root"	"young_leaf"
"770"	0	152	0
"771"	19	34	69
"772"	5	0	0
"773"	6020	0	3765
"774"	26	15	36
"775"	0	338	0
"776"	63	79	61
"777"	16	9	207
"778"	0	3588	0
"779"	0	5168	51
"780"	51	281	58
"781"	0	11	0
"782"	0	130	0
"783"	0	97	44
"784"	0	95	3
"785"	72	89	46
"786"	0	0	0
"787"	0	0	5
"788"	2	44	11
"789"	55	131	111
"790"	0	37	0
"791"	0	116	0
"792"	150	7	335
"793"	13	20	19
"794"	0	78	0
"795"	5	4	81
"796"	0	20	17
"797"	0	25	0
"798"	382	15	238
"799"	0	43	0
"800"	9	19	27
"801"	0	877	4
"802"	0	198	2
"803"	18	117	86
"804"	0	47	7
"805"	0	76	0
"806"	10	39	26
"807"	17	249	29
"808"	18	474	21
"809"	0	17	0
"810"	54	420	143
"811"	2	103	19
"812"	0	1713	0
"813"	0	160	0
"814"	0	0	2
"815"	3	422	13
"816"	1479	868	22790
"817"	0	2	131
"818"	248	901	271
"819"	7	50	138
"820"	790	344	1333
"821"	2	225	4
"822"	106	260	309
"823"	201	1	38
"824"	1136	0	0
"825"	44	82	112
"826"	0	93	25
"827"	101	294	17
"828"	15	52	65
"829"	0	849	0
"830"	605	0	190
"831"	20	6	364
"832"	130	11409	830
"833"	46	215	17
"834"	0	209	0
"835"	11	87	43
"836"	0	176	5
"837"	74	213	776
"838"	6	270	35
"839"	242	799	322
"840"	0	0	0
"841"	2	9	0
"842"	44	16	31
"843"	0	45	0
"844"	0	1450	28
"845"	65	7	92
"846"	0	1269	63
"847"	5	3	53
"848"	1	25	0
"849"	0	7	0
"850"	0	0	0
"851"	0	105	4
"852"	9	0	0
"853"	0	0	0
"854"	8	96	0
"855"	0	0	0
"856"	369	46	847
"857"	0	876	0
"858"	7	327	56
"859"	0	193	0
"860"	0	127	0
"861"	21	25	23
"862"	2	699	55
"863"	45	93	62
"864"	20	18	20
"865"	2	82	0
"866"	3	120	2
"867"	169	6626	179
"868"	86	5645	77
"869"	0	157	6
"870"	0	198	428
"871"	0	5	0
"872"	111	439	9914
"873"	0	129	0
"874"	3	12	831
"875"	6	295	11
"876"	0	68	0
"877"	43	2782	15
"878"	8	8	8
"879"	3	48	33
"880"	34	56	22
"881"	0	137	0
"882"	0	0	0
"883"	406	4566	300
"884"	17	86	12
"885"	28	1	232
"886"	63	37	84
"887"	255	0	25
"888"	149	38	100
"889"	0	259	0
"890"	9	37	46
"891"	18	16	73
"892"	0	135	0
"893"	0	2856	0
"894"	5	2479	58
"895"	0	15732	21
"896"	27	1	102
"897"	0	407	0
"898"	32	140	72
"899"	0	185	0
"900"	26	244	39
"901"	0	120	0
"902"	0	33	0
"903"	0	187	0
"904"	0	672	0
"905"	0	6	0
"906"	8	1316	0
"907"	1342	29	318
"908"	68	8	23
"909"	0	103	0
"910"	3404	200	498
"911"	118	456	448
"912"	336	13449	423
"913"	0	0	0
"914"	0	17	0
"915"	0	10	0
"916"	492	3	50
"917"	37	24	76
"918"	0	65	0
"919"	257	5	0
"920"	14	404	19
"921"	8	22	0
"922"	123	0	24
"923"	0	618	0
"924"	0	656	8
"925"	16	550	11
"926"	11	125	8
"927"	8	0	722
"928"	0	0	0
"929"	7	187	0
"930"	21	90	2
"931"	1566	12	371
"932"	79	2	16
"933"	0	20	0
"934"	41	37	34
"935"	0	107	0
"936"	0	0	0
"937"	65	8	32
"938"	0	2	0
"939"	5	19	13
"940"	21	302	58
"941"	6	142	11
"942"	0	0	0
"943"	206	34	12
"944"	0	275	0
"945"	7	963	19
"946"	20	791	151
"947"	0	11	0
"948"	256	5	21
"949"	4	33	0
"950"	2234	64	579
"951"	0	18	0
"952"	0	666	81
"953"	0	21	0
"954"	177	316	245
"955"	0	107	0
"956"	74	0	18
"957"	0	961	0
"958"	29	452	0
"959"	57	1036	49
"960"	1	1	24
"961"	196	31	1164
"962"	112	1	28
"963"	0	407	0
"964"	529	36934	552
"965"	68	0	44
"966"	278	287	372
"967"	0	371	0
"968"	0	0	2
"969"	74	0	34
"970"	0	0	0
"971"	10	25	653
"972"	4	336	0
"973"	0	212	0
"974"	10	55	32
"975"	0	1893	0
"976"	0	0	0
"977"	371	16	19
"978"	20	212	38
"979"	0	117	0
"980"	85	11	4
"981"	0	98	0
"982"	74	213	93
"983"	8	23	78
"984"	0	0	5
"985"	19	1435	43
"986"	0	56	0
"987"	0	0	0
"988"	46	5918	211
"989"	0	69	0
"990"	7	385	7
"991"	156	456	2350
"992"	0	6	0
"993"	68	697	570
"994"	17	2	204
"995"	7	596	4
"996"	77	3961	29
"997"	0	96	0
"998"	133	400	324
"999"	0	37	0
"1000"	242	27	130
"1001"	0	0	0
"1002"	105	1179	121
"1003"	1	3	93
"1004"	314	18	7044
"1005"	0	3	0
"1006"	191	8	75
"1007"	20	2	15
"1008"	28	14	798
"1009"	13	6997	25
"1010"	0	93	2
"1011"	16	13	69
"1012"	45	3061	16
"1013"	3	421	15
"1014"	0	3860	0
"1015"	84	138	221
"1016"	0	7	20
"1017"	64	521	313
"1018"	1	0	0
"1019"	0	59	4
"1020"	0	179	0
"1021"	140	1167	21
"1022"	12	8	0
"1023"	109	190	256
"1024"	73	0	225
"1025"	27	10	12
"1026"	0	13	0
"1027"	0	14	0
"1028"	1867	83	403
"1029"	0	203	0
"1030"	182	241	176
"1031"	0	239	0
"1032"	3	180	2
"1033"	24	2698	129
"1034"	2054	67	2726
"1035"	0	155	0
"1036"	0	0	0
"1037"	244	528	768
"1038"	438	31458	44
"1039"	0	2	0
"1040"	0	338	0
"1041"	1185	160	2547
