T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
22,413;22,139;21,901;21,715;21,686;21,49;100,00;100,00;100,00;100,00;100,00;100,00
22,428;21,962;21,802;21,758;21,611;21,585;100,00;100,00;100,00;100,00;100,00;100,00
22,355;22,008;21,718;21,654;21,535;21,499;100,00;100,00;100,00;100,00;100,00;100,00
22,307;22,115;21,91;21,585;21,565;21,513;100,00;100,00;100,00;100,00;100,00;100,00
22,34;21,954;21,85;21,749;21,655;21,569;100,00;100,00;100,00;100,00;100,00;100,00
22,372;21,987;21,917;21,724;21,614;21,612;100,00;100,00;100,00;100,00;100,00;100,00
22,333;22,09;21,933;21,673;21,591;21,612;100,00;100,00;100,00;100,00;100,00;100,00
22,266;21,868;21,794;21,706;21,649;21,576;100,00;100,00;100,00;100,00;100,00;100,00
22,157;21,832;21,801;21,749;21,649;21,581;100,00;100,00;100,00;100,00;100,00;100,00
22,288;21,939;21,91;21,724;21,615;21,6;100,00;100,00;100,00;100,00;100,00;100,00
22,351;22,044;21,924;21,679;21,578;21,615;100,00;100,00;100,00;100,00;100,00;100,00
22,34;22,078;21,935;21,618;21,55;21,526;100,00;100,00;100,00;100,00;100,00;100,00
22,348;22,136;21,883;21,574;21,526;21,529;100,00;100,00;100,00;100,00;100,00;100,00
22,246;22,054;21,734;21,569;21,55;21,547;100,00;100,00;100,00;100,00;100,00;100,00
22,294;22,1;21,794;21,557;21,548;21,529;100,00;100,00;100,00;100,00;100,00;100,00
22,167;21,843;21,743;21,605;21,544;21,524;100,00;100,00;100,00;100,00;100,00;100,00
22,245;21,855;21,814;21,649;21,591;21,562;100,00;100,00;100,00;100,00;100,00;100,00
22,191;22,018;21,777;21,621;21,538;21,565;100,00;100,00;100,00;100,00;100,00;100,00
21,993;21,718;21,614;21,636;21,545;21,536;100,00;100,00;100,00;100,00;100,00;100,00
22,06;21,689;21,578;21,375;21,351;21,386;100,00;100,00;100,00;100,00;100,00;100,00
22,14;21,859;21,712;21,348;21,349;21,41;100,00;100,00;100,00;100,00;100,00;100,00
21,996;21,727;21,582;21,389;21,37;21,364;100,00;100,00;100,00;100,00;100,00;100,00
22,017;21,6;21,587;21,47;21,459;21,455;100,00;100,00;100,00;100,00;100,00;100,00
22,085;21,752;21,628;21,403;21,492;21,487;100,00;100,00;100,00;100,00;100,00;100,00
